company,tier,total,repo_count,tooling_signal,migration_signal,contributor_count,recency,repo_age,commit_velocity,careers_keywords,eng_hiring_velocity,funding_recency,plg_signal,ai_native,engineering_scale,industry_complexity,ts_js_dominance,npm_org,jvm_disqualifier,route,rationale
Elastic,Tier 1,108,10,15,10,5,5,5,5,8,5,0,5,0,10,10,10,5,0,standard_outbound,"Score driven by: 67 SDK/tooling-pattern repos, 11 migration-pattern repos (elasticsearch-perl-compat: 'migrating', elasticsearch-migration: 'migration'), ~167.7 commits/week across top repos, careers page mentions developer experience, microservices, platform engineer, 25 open eng roles, 31% repos active in last 90d, ~3000 employees, data_infra vertical; v2 signals — strong ts_js_dominance [top 3 active langs: Go (77), Python (73), TypeScript (49) · kibana: Express in package.json · apm-agent-nodejs: Express in package.json]; strong npm_org [@elastic: 50 packages · cross-ref: @elastic/eui depends on @elastic/prismjs-esql]."
MongoDB,Tier 1,105,10,15,5,5,5,5,5,10,10,0,5,0,10,10,10,0,0,standard_outbound,"Score driven by: 34 SDK/tooling-pattern repos, 2 migration-pattern repos (anser: 'migration', mdb-aws: 'migration'), ~52.1 commits/week across top repos, careers page mentions developer experience, infrastructure engineer, internal tooling, 129 open eng roles, 32% repos active in last 90d, ~5000 employees, data_infra vertical; v2 signals — strong ts_js_dominance [top 3 active langs: Go (25), Python (19), TypeScript (19) · node-mongodb-native: Express in package.json]."
Databricks,Tier 1,93,10,15,10,4,0,5,0,10,10,0,5,0,10,10,5,5,-6,split_pitch_jvm,"Score driven by: 26 SDK/tooling-pattern repos, 6 migration-pattern repos (docker-registry-client: 'v2', knowledge-repo: 'next-gen'), careers page mentions developer experience, infrastructure engineer, internal tooling, 328 open eng roles, ~7000 employees, data_infra vertical; v2 signals — weak ts_js_dominance [top 3 active langs: Python (21), TypeScript (7), Scala (6)]; strong npm_org [@databricks: 13 packages · cross-ref: @databricks/lakebase depends on @databricks/sdk-experimental · DS primitives: @databricks/design-system]; strong jvm_disqualifier [JVM in top 3 active langs: Scala · JD refs: consul, envoy]."
Palantir,Tier 1,86,10,15,0,4,5,5,3,10,10,0,0,0,10,10,5,5,-6,split_pitch_jvm,"Score driven by: 13 SDK/tooling-pattern repos, ~3.2 commits/week across top repos, careers page mentions developer experience, infrastructure engineer, internal tooling, 136 open eng roles, 58% repos active in last 90d, ~4500 employees, aerospace_defense vertical; v2 signals — weak ts_js_dominance [top 3 active langs: Java (66), Go (58), TypeScript (19)]; strong npm_org [@palantir: 17 packages · cross-ref: @palantir/pack.state.foundry depends on @palantir/pack.auth]; strong jvm_disqualifier [JVM in top 3 active langs: Java · JD refs: consul, envoy]."
Confluent,Tier 2,81,10,15,10,4,5,5,5,0,0,0,5,0,10,10,0,5,-3,split_pitch_jvm,"Score driven by: 35 SDK/tooling-pattern repos, 10 migration-pattern repos (ccloud-sdk-go-v2: 'v2', docker-registry-client: 'v2'), ~30.9 commits/week across top repos, 39% repos active in last 90d, ~3500 employees, data_infra vertical; v2 signals — strong npm_org [@confluentinc: 7 packages · cross-ref: @confluentinc/schemaregistry depends on @confluentinc/kafka-javascript]; weak jvm_disqualifier [JVM in top 3 active langs: Java]."
Snowflake,Tier 2,58,4,15,5,4,5,5,3,0,0,0,0,0,10,10,0,0,-3,standard_outbound,"Score driven by: 8 SDK/tooling-pattern repos, 1 migration-pattern repos (snowpark-checkpoints: 'migration'), ~6.0 commits/week across top repos, 58% repos active in last 90d, ~7000 employees, data_infra vertical; v2 signals — weak jvm_disqualifier [JVM in top 3 active langs: Java, Scala]."
